Airplane.Type,Avg_Injuries_per_Incident,Risk.Score,Weighted_Risk,Damage_Risk,Severity_Risk,Number.of.Engines
aeromot amt200,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 0-58a,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 0-58b,1.0,2.0,4.778886044664136,2.0,1.0,1.0
aeronca 11ac,0.8064516129032252,1.5806451612903225,3.7296197018710746,2.0,1.2258064516129032,1.0
aeronca 11bc,1.0,1.0,2.389443022332068,2.0,1.0,1.0
aeronca 11cc,0.6666666666666666,2.0,4.778886044664136,2.3333333333333335,1.3333333333333333,1.0
aeronca 15ac,0.11111111111111113,0.3333333333333333,0.08849788971600253,2.0,1.1111111111111112,1.0
aeronca 58b,2.0,2.0,9.557772089328273,2.0,1.0,1.0
aeronca 65 c,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 65 ca,1.5,3.5,9.85645246711978,1.5,1.5,1.0
aeronca 65 lb,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 65-tac,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 65-tc,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 65-tf,2.0,5.0,23.894430223320683,2.0,2.0,1.0
aeronca 65c,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 65ca,1.0,1.0,2.389443022332068,2.0,1.0,1.0
aeronca 7ac,0.600000000000001,1.1888888888888889,1.951378468237856,2.066666666666667,1.1333333333333333,0.9888888888888889
aeronca 7ac-conv,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 7bc,0.0,0.0,0.0,3.0,1.0,1.0
aeronca 7bcm,0.5833333333333333,0.9166666666666666,1.2776882827747869,2.0,1.0,1.0
aeronca 7bcm (l-16a),2.0,6.0,43.009974401977225,3.0,2.0,1.0
aeronca 7ccm,0.5,0.8,0.9557772089328272,2.0,1.4,1.0
aeronca 7dc,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 7dc-conv,0.0,0.0,0.0,2.0,1.0,1.0
aeronca 7ec,0.3333333333333333,0.7777777777777778,0.7522320625860215,2.2222222222222223,1.2222222222222223,0.8888888888888888
aeronca 7gc,1.0,1.0,2.389443022332068,2.0,1.0,1.0
aeronca 7jc,0.0,0.0,0.0,2.0,1.0,1.0
aeronca aircraft corporation 7ac,0.0,0.0,0.0,2.0,1.0,1.0
aeronca ar-58,2.0,3.0,14.336658133992408,2.0,1.0,1.0
aeronca c-3,2.0,3.0,14.336658133992408,2.0,1.0,1.0
aeronca c3,2.0,4.0,19.115544178656545,2.0,1.0,1.0
aeronca champ 7ec,0.0,0.0,0.0,3.0,1.0,1.0
aeronca champion,0.0,0.0,0.0,2.0,1.0,1.0
aeronca champion 7ac,0.0,0.0,0.0,2.0,1.0,1.0
aeronca champion 7gcbc,0.0,0.0,0.0,2.0,1.0,1.0
aeronca l 3b,0.0,0.0,0.0,2.0,1.0,1.0
aeronca l16a,0.0,0.0,0.0,2.0,1.0,1.0
aeronca o-58b,0.5,0.5,0.597360755583017,2.0,1.0,1.0
aeronca o58b,2.0,3.0,14.336658133992408,2.0,1.0,1.0
aeronca s11ac,1.0,1.0,2.389443022332068,2.0,1.0,1.0
aeronca s15ac,0.0,0.0,0.0,2.0,1.0,1.0
aeronca s7ec,0.0,0.0,0.0,2.0,1.0,1.0
aeroprakt a 20 vista cruiser,0.0,0.0,0.0,2.0,1.0,1.0
aeroprakt a-22,0.0,0.0,0.0,2.0,1.0,1.0
aeroprakt a-22 valor,0.0,0.0,0.0,2.0,1.0,1.0
aeropro cz a220,0.25,0.75,0.6720308500308941,2.25,1.25,1.0
aeropro cz a240,0.5,1.5,1.792082266749051,2.0,1.5,1.0
aeropro cz eurofox,1.0,2.0,4.778886044664136,2.0,1.0,1.0
aeropro cz eurofox lsa,0.25,0.5,0.2986803777915085,2.0,1.0,1.0
aeropro cz s r o a220,0.0,0.0,0.0,2.0,1.0,1.0
aeropro cz s r o a240,0.0,0.0,0.0,2.0,1.0,1.0
aeros ltd aeros 2,2.0,2.0,9.557772089328273,2.0,1.0,1.0
aeros ltd skyranger,0.0,0.0,0.0,2.0,1.0,1.0
aeros ltd/skyranger aircraft skyranger ii,2.0,2.0,9.557772089328273,2.0,1.0,1.0
aeros venture,0.0,0.0,0.0,2.0,1.0,1.0
aerospatiale alenia atr 42-320,2.0,3.0,14.336658133992408,2.0,1.0,2.0
aerosport champ,0.0,0.0,0.0,2.0,1.0,1.0
aerosport ltd ikarus c42e,0.0,0.0,0.0,2.0,1.0,1.0
aerostar 602p,4.0,12.0,172.0398976079089,3.0,2.0,0.0
aerostar acft corp of texas m20e,1.5,2.0,7.168329066996204,2.0,1.0,1.0
aerostar acft corp of texas m20f,4.0,4.0,38.23108835731309,2.0,1.0,1.0
aerostar aircraft corporation pa-60-601p,0.5,1.5,1.792082266749051,2.0,1.5,2.0
aerostar s a yak 52,2.0,6.0,43.009974401977225,3.0,2.0,1.0
aerostar s a yak-52,1.5,4.5,16.12874040074146,2.0,2.0,1.0
"aerostar, s.a yak-52tw",2.0,2.0,9.557772089328273,2.0,1.0,1.0
aerotechnik l 13 seh vivat,0.0,0.0,0.0,2.0,1.0,1.0
aerotechnik sportstar-evektor,2.0,2.0,9.557772089328273,2.0,1.0,1.0
aerotek inc pitts s-2b,0.0,0.0,0.0,1.0,1.0,1.0
aerotek pitts s 1t,0.0,0.0,0.0,2.0,1.0,1.0
aerotek pitts s 2a,2.0,6.0,28.673316267984816,2.0,2.0,1.0
aerotek pitts s-1t,0.0,0.0,0.0,2.0,1.0,1.0
aerotek pitts s-2a,0.6666666666666666,1.3333333333333333,2.920430360628083,2.3333333333333335,1.3333333333333333,1.0
aerotek pitts spec,0.0,0.0,0.0,2.0,1.0,1.0
aerotek pitts special,0.0,0.0,0.0,2.0,1.0,1.0
aerotek pitts special s-1s,0.5,0.5,0.597360755583017,2.0,1.0,1.0
aerotek-pitts s-2a,0.0,0.0,0.0,2.0,1.0,1.0
aerotrek a220,0.0,0.0,0.0,2.0,1.0,1.0
aerovodochody l 29 delfin,2.0,4.0,19.115544178656545,2.0,1.0,1.0
aerovodochody l-29 delfin,1.0,3.0,7.168329066996204,2.0,1.5,1.0
ag-cat corporation g 164,0.0,0.0,0.0,2.0,1.0,1.0
ageton mxl sport ii,1.0,2.0,4.778886044664136,2.0,1.0,1.0
agin jeffrey t rv-4,1.0,1.0,2.389443022332068,2.0,1.0,1.0
ahrens gerd h rv 6,1.0,3.0,7.168329066996204,2.0,2.0,1.0
